Rayon;Date;Num_Ticket;ID Article;Article;Quantite;Prix U. TTC;Total HT;Total TTC;Montant TVA;Taux TVA
LAYETTES;21/04/2026 10:23:43;13752;15;ROBE LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 10:23:54;13752;15;ROBE LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 10:24:07;13752;57;CHEMISIER MC LAY.;1;2;1.666667;2;0.333333;20
OPERATION;21/04/2026 10:24:18;13752;50;OPERATION;1;1.75;1.458333;1.75;0.291667;20
KINTSU;21/04/2026 10:28:43;13753;31;KINTSU;1;6;6;6;0;0
FEMME;21/04/2026 10:33:26;13754;43;ROBE FEMME;1;5;4.166667;5;0.833333;20
OPERATION;21/04/2026 10:34:29;13755;50;OPERATION;1;1.5;1.25;1.5;0.25;20
OPERATION;21/04/2026 10:34:47;13755;50;OPERATION;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 10:35:03;13755;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 10:35:19;13755;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 10:35:35;13755;62;TEE SHIRT MC FEMME;1;5;4.166667;5;0.833333;20
PRIX RONDS;21/04/2026 10:35:51;13755;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 10:36:15;13755;48;PRIX RONDS;1;0.5;0.416667;0.5;0.083333;20
PRIX RONDS;21/04/2026 10:36:29;13755;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 10:36:41;13755;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 10:36:55;13755;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 10:37:08;13755;25;ACCESSOIRE FEMME;1;2;1.666667;2;0.333333;20
KINTSU;21/04/2026 10:37:15;13755;31;KINTSU;1;2;2;2;0;0
KINTSU;21/04/2026 10:37:18;13755;31;KINTSU;1;2;2;2;0;0
PRIX RONDS;21/04/2026 11:00:17;13756;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 11:00:44;13756;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 11:01:00;13756;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
PRIX RONDS;21/04/2026 11:01:18;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:01:42;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:01:58;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:02:11;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:02:23;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:02:38;13756;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 11:02:56;13756;48;PRIX RONDS;1;0.5;0.416667;0.5;0.083333;20
PRIX RONDS;21/04/2026 11:03:14;13756;48;PRIX RONDS;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 11:03:36;13756;26;CHAUSSURES FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 11:03:42;13756;26;CHAUSSURES FEMME;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 11:06:42;13757;18;CHAUSSURES LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 11:06:49;13757;14;JUPE LAY.;1;2;1.666667;2;0.333333;20
OPERATION;21/04/2026 11:06:54;13757;50;OPERATION;1;1;0.833333;1;0.166667;20
OPERATION;21/04/2026 11:07:00;13757;50;OPERATION;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 11:07:20;13757;68;JUPE FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 11:07:39;13757;43;ROBE FEMME;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 11:07:54;13757;15;ROBE LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 11:08:32;13757;17;ACCESSOIRE LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 11:08:41;13757;17;ACCESSOIRE LAY.;1;1;0.833333;1;0.166667;20
KINTSU;21/04/2026 11:08:47;13757;31;KINTSU;1;1;1;1;0;0
KINTSU;21/04/2026 11:08:56;13757;31;KINTSU;1;0.7;0.7;0.7;0;0
KINTSU;21/04/2026 11:09:00;13757;31;KINTSU;1;2;2;2;0;0
