Date,Type,Réf. transaction,Moyen de paiement,Quantité,Unité,Description,Catégorie,SKU,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
15 mai 2026 10:15,Vente,TAAA23ZXECY,Mastercard - Débit,"1,33",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"9,31","0,00","9,31","7,76","1,55",20 %,Caissier Frip & Co
15 mai 2026 10:16,Vente,TAAA23ZXTBY,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 10:16,Vente,TAAA23ZXTBY,Visa - Débit,"2,565",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"17,96","0,00","17,96","14,97","2,99",20 %,Caissier Frip & Co
15 mai 2026 10:20,Vente,TAAA23ZYVNG,Espèces,"0,28",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"1,96","0,00","1,96","1,63","0,33",20 %,Caissier Frip & Co
15 mai 2026 10:20,Vente,TAAA23ZY3ZL,Espèces,"2,06",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"14,42","0,00","14,42","12,02","2,40",20 %,Caissier Frip & Co
15 mai 2026 10:21,Vente,TAAA23ZZC7Z,Espèces,"5,15",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"28,84","0,00","28,84","24,03","4,81",20 %,Caissier Frip & Co
15 mai 2026 10:23,Vente,TAAA23ZZSZ4,Espèces,"6,575",kg,Chaussures,Ventes Au Kilo,,EUR,"19,72","0,00","19,72","16,43","3,29",20 %,Caissier Frip & Co
15 mai 2026 10:25,Vente,TAAA23Z2EM9,Mastercard - Débit,"2,815",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"19,70","0,00","19,70","16,42","3,28",20 %,Caissier Frip & Co
15 mai 2026 10:25,Vente,TAAA23Z2LKG,Visa - Débit,"1,8",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"12,60","0,00","12,60","10,50","2,10",20 %,Caissier Frip & Co
15 mai 2026 10:26,Vente,TAAA23Z2S4X,Visa - Débit,"0,535",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,74","0,00","3,74","3,12","0,62",20 %,Caissier Frip & Co
15 mai 2026 10:26,Vente,TAAA23Z2ZRP,Espèces,"3,992",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"27,95","0,00","27,95","23,29","4,66",20 %,Caissier Frip & Co
15 mai 2026 10:27,Vente,TAAA23Z292U,Espèces,"0,18",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"1,26","0,00","1,26","1,05","0,21",20 %,Caissier Frip & Co
15 mai 2026 10:28,Vente,TAAA23Z3L3E,Espèces,"3,24",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"22,68","0,00","22,68","18,90","3,78",20 %,Caissier Frip & Co
15 mai 2026 10:29,Vente,TAAA23Z32NQ,Espèces,"4,02",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"28,14","0,00","28,14","23,45","4,69",20 %,Caissier Frip & Co
15 mai 2026 10:30,Vente,TAAA23Z33GU,Visa - Débit,4,pce,Sacs,Ventes Au Kilo,,EUR,"0,80","0,00","0,80","0,67","0,13",20 %,Caissier Frip & Co
15 mai 2026 10:30,Vente,TAAA23Z33GU,Visa - Débit,"5,895",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"33,01","0,00","33,01","27,51","5,50",20 %,Caissier Frip & Co
15 mai 2026 10:30,Vente,TAAA23Z33GU,Visa - Débit,"8,635",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"48,36","0,00","48,36","40,30","8,06",20 %,Caissier Frip & Co
15 mai 2026 10:31,Vente,TAAA23Z4K3R,Espèces,2,pce,Sacs,Ventes Au Kilo,,EUR,"0,40","0,00","0,40","0,33","0,07",20 %,Caissier Frip & Co
15 mai 2026 10:31,Vente,TAAA23Z4K3R,Espèces,"6,795",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"38,05","0,00","38,05","31,71","6,34",20 %,Caissier Frip & Co
15 mai 2026 10:31,Vente,TAAA23Z4PHY,Mastercard - Débit,"3,85",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"26,95","0,00","26,95","22,46","4,49",20 %,Caissier Frip & Co
15 mai 2026 10:32,Vente,TAAA23Z4VX4,Visa - Crédit,"1,905",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"13,34","0,00","13,34","11,12","2,22",20 %,Caissier Frip & Co
15 mai 2026 10:33,Vente,TAAA23Z43LY,Visa - Crédit,"0,535",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"3,74","0,00","3,74","3,12","0,62",20 %,Caissier Frip & Co
15 mai 2026 10:33,Vente,TAAA23Z6AVD,Mastercard - Débit,"2,115",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"14,80","0,00","14,80","12,33","2,47",20 %,Caissier Frip & Co
15 mai 2026 10:33,Vente,TAAA23Z6BL7,Espèces,"0,815",kg,Chaussures,Ventes Au Kilo,,EUR,"2,44","0,00","2,44","2,03","0,41",20 %,Caissier Frip & Co
15 mai 2026 10:33,Vente,TAAA23Z6BL7,Espèces,"8,92",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"49,95","0,00","49,95","41,62","8,33",20 %,Caissier Frip & Co
15 mai 2026 10:34,Vente,TAAA23Z6KRU,Espèces,"0,77",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"5,39","0,00","5,39","4,49","0,90",20 %,Caissier Frip & Co
15 mai 2026 10:35,Vente,TAAA23Z6XDN,Mastercard - Crédit,"11,105",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"62,19","0,00","62,19","51,82","10,37",20 %,Caissier Frip & Co
15 mai 2026 10:37,Vente,TAAA23Z7NA6,Visa - Débit,6,kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"33,60","0,00","33,60","28,00","5,60",20 %,Caissier Frip & Co
15 mai 2026 10:38,Vente,TAAA23Z7VT4,Visa - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 10:38,Vente,TAAA23Z7VT4,Visa - Débit,"1,56",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"10,92","0,00","10,92","9,10","1,82",20 %,Caissier Frip & Co
15 mai 2026 10:40,Vente,TAAA23Z9NUG,Visa - Débit,"7,52",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"42,11","0,00","42,11","35,09","7,02",20 %,Caissier Frip & Co
15 mai 2026 10:42,Vente,TAAA23Z99BC,Espèces,2,pce,Sacs,Ventes Au Kilo,,EUR,"0,40","0,00","0,40","0,33","0,07",20 %,Caissier Frip & Co
15 mai 2026 10:42,Vente,TAAA23Z99BC,Espèces,"10,125",kg,Vente Plus de 5 kilos,Ventes Au Kilo,,EUR,"56,70","0,00","56,70","47,25","9,45",20 %,Caissier Frip & Co
15 mai 2026 10:44,Vente,TAAA232AXQQ,Espèces,"4,48",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"31,36","0,00","31,36","26,13","5,23",20 %,Caissier Frip & Co
15 mai 2026 10:44,Vente,TAAA232A7GN,Visa - Débit,"3,2",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"22,40","0,00","22,40","18,67","3,73",20 %,Caissier Frip & Co
15 mai 2026 10:45,Vente,TAAA232BEM6,Mastercard - Débit,1,pce,Sacs,Ventes Au Kilo,,EUR,"0,20","0,00","0,20","0,17","0,03",20 %,Caissier Frip & Co
15 mai 2026 10:45,Vente,TAAA232BEM6,Mastercard - Débit,"0,86",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"6,02","0,00","6,02","5,02","1,00",20 %,Caissier Frip & Co
15 mai 2026 10:46,Vente,TAAA232BK6E,Visa - Débit,"1,1",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"7,70","0,00","7,70","6,42","1,28",20 %,Caissier Frip & Co
15 mai 2026 10:46,Vente,TAAA232BRCP,Visa - Débit,"2,54",kg,Vente Moins de 5 Kg,Ventes Au Kilo,,EUR,"17,78","0,00","17,78","14,82","2,96",20 %,Caissier Frip & Co
